# quote, author
In three words I can sum up everything I've learned about life: it goes on., Robert Frost
Insanity is doing the same thing over and over again but expecting different results., Narcotics Anonymous
It is better to be hated for what you are than to be loved for what you are not., Andre Gide
It does not do to dwell on dream and forget to live., Albus Dumbledore
Insight is not a lightbulb that goes off inside our heads. It is a flickering candle that can easily be snuffed out., Malcolm Gladwell
There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle., Albert Einstein
Life is what happens to us while we are making other plans, Allen Saunders
You didn’t come into this world. You came out of it like a wave from the ocean. You are not a stranger here., Alan Watts
There will always be suffering. But we must not suffer over the suffering., Alan Watts
Meditation is the discovery that the point of life is always arrived at in the immediate moment., Alan Watts
Very little is needed to make a happy life; it is all within yourself - in your way of thinking., Alan Watts
Do one thing every day that scares you., Eleanor Roosevelt
Truth is powerful and it prevails., Sojourner Truth
Either I will find a way or I will make one., Philip Sidney
Joy is what happens to us when we allow ourselves to recognize how good things really are., Marianne Williamson
To hell with circumstances; I create opportunities., Bruce Lee
I have no special talent. I am only passionately curious., Albert Einstein
We cannot hold a torch to light another's path without brightening our own., Ben Sweetland
Never mistake motion for action., Ernest Hemingway
The best way to predict your future is to create it., Peter Drucker
The cosmos is neither moral or immoral; only people are. He who would move the world must first move himself., Edward Ericson
There are no limitations to the mind except those we acknowledge., Napoleon Hill
I can't believe that God put us on this earth to be ordinary., Lou Holtz
Almost everything comes from nothing., Henri Amiel
Better than a thousand hollow words is one word that brings peace., Buddha
A person who never made a mistake never tried anything new., Albert Einstein
Happiness does not come about only due to external circumstances; it mainly derives from inner attitudes., Dalai Lama
Love is the master key that opens the gates of happiness., Oliver Wendell Holmes
Be yourself; everyone else is already taken., Oscar Wilde
You must do the things you think you cannot do., Eleanor Roosevelt
We read the world wrong and say that it deceives us., Rabindranath Tagore
What is a weed? A plant whose virtues have not yet been discovered., Ralph Waldo Emerson
Truth is generally the best vindication against slander., Abraham Lincoln
An idea that is developed and put into action is more important than an idea that exists only as an idea., Buddha
To climb steep hills requires a slow pace at first., William Shakespeare
Be the change that you want to see in the world., Mohandas Gandhi
We have committed the Golden Rule to memory; let us now commit it to life., Edwin Markham
Give thanks for a little and you will find a lot., Hausa
Let yourself be silently drawn by the stronger pull of what you really love., Rumi
Wrinkles should merely indicate where smiles have been., Mark Twain
I do not believe in a fate that falls on men however they act; but I do believe in a fate that falls on man unless they act., G.K. Chesterton
Kindness in words creates confidence. Kindness in thinking creates profoundness. Kindness in giving creates love., Lao Tzu
Be a good listener. Your ears will never get you in trouble., Frank Tyger
Things do not change; we change., Henry David Thoreau
The important thing is this: to be able at any moment to sacrifice what we are for what we could become., Charles Dubois
The only real mistake is the one from which we learn nothing., John Powell
Things that were hard to bear are sweet to remember., Seneca
We've got to have a dream if we are going to make a dream come true., Walt Disney
Compassion and happiness are not a sign of weakness but a sign of strength., Dalai Lama
Great ideas often receive violent opposition from mediocre minds., Albert Einstein
A jug fills drop by drop., Buddha
The wisest men follow their own direction., Euripides
All the flowers of all the tomorrows are in the seeds of today., Ancient Proverb
The power of intuitive understanding will protect you from harm until the end of your days., Laozi
No one has ever become poor by giving., Anne Frank
Yesterdays home runs don't win today's games., Babe Ruth
Something opens our wings. Something makes boredom and hurt disappear. Someone fills the cup in front of us: We taste only sacredness., Rumi
Waste no more time arguing what a good man should be. Be one., Marcus Aurelius
Bad times have a scientific value. These are occasions a good learner would not miss., Ralph Waldo Emerson
Knowing your own darkness is the best method for dealing with the darknesses of other people., Carl Jung
The purpose of life is finding the largest burden that you can bear and bearing it., Jordan Peterson
You are in danger of living a life so comfortable and soft that you will die without ever realizing your true potential., David Goggins
The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time., Mark Twain
Achievement is talent plus preparation., Malcolm Gladwell
The truth is like a lion; you don’t have to defend it. Let it loose; it will defend itself., St. Augustine
Sometimes the questions are complicated and the answers are simple., Dr. Seuss
Life isn't about finding yourself. Life is about creating yourself., George Bernard Shaw
Better to get hurt by the truth than comforted with a lie., Khaled Hosseini
The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time., Mark Twain
How wonderful it is that nobody need wait a single moment before starting to improve the world., Anne Frank
The saddest aspect of life right now is that science gathers knowledge faster than society gathers wisdom., Isaac Asimov
Every man has his secret sorrows which the world knows not; and often times we call a man cold when he is only sad., Henry Wadsworth Longfellow
Practice isn't the thing you do once you're good. It's the thing you do that makes you good., Malcolm Gladwell
I have not failed. I've just found 10000 ways that won't work., Thomas Edison
If you don't stand for something you will fall for anything., Gordon Eadie
That which does not kill us makes us stronger., Friedrich Nietzsche
For every minute you are angry you lose sixty seconds of happiness., Ralph Waldo Emerson
Everything you can imagine is real., Pablo Picasso
Life can only be understood backwards; but it must be lived forwards., Soren Kierkegaard
Do not go where the path may lead - go instead where there is no path and leave a trail., Ralph Waldo Emerson
Life is for the living. Death is for the dead. Let life be like music. And death a note unsaid., Langston Hughes
Do I not destroy my enemies when I make them my friends?, Abraham Lincoln
He who has a why to live for can bear almost any how., Friedrich Nietzsche
Dwell on the beauty of life. Watch the stars and see yourself running with them., Marcus Aurelius
To say goodbye is to die a little., Raymond Chandler
I'm sure the universe is full of intelligent life. It's just been too intelligent to come here., Arthur Clarke
There is no happiness except in the realization that we have accomplished something., Henry Ford
The best way out is always through., Robert Frost
The road to success is always under construction., Arnold Palmer
It’s easier to ask forgiveness than it is to get permission., Grace Hopper
Lend your friend $20. If he doesn’t pay you back then he’s not your friend. Money well spent., Ted Nicolas
Money and success don’t change people; they merely amplify what is already there., Will Smith
The secret of getting ahead is getting started., Agatha Christie
A bad workman blames his tools., Chinese proverb
All cats love fish but fear to wet their paws., Chinese proverb
You won’t get anything unless you have the vision to imagine it., John Lennon
Do or do not. There is no try., Yoda
Make each day your masterpiece., John Wooden
